# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	3398
#@/user_id	544a1c7e-cbba-49e6-a52e-1059a45da9cf
ai 	唉	c=1 d=1 t=588
mei sha 	沒啥	c=2 d=1.90484 t=3381
mei shen me 	沒什麼	c=1 d=1 t=961
mei shi 	沒事	c=2 d=1.00001 t=3367
mei yi ge 	每一個	c=1 d=1 t=515
mei you 	沒有	c=8 d=1.95753 t=3334
mei you wen ti 	沒有問題	c=1 d=1 t=1975
mei zai 	沒在	c=1 d=1 t=1996
men jin 	門禁	c=2 d=1.97045 t=2858
mi ma 	密碼	c=1 d=1 t=2039
mian dui mian 	面對面	c=1 d=1 t=3300
miao shu 	描述	c=0 d=0.1 t=2716
ming ling 	命令	c=2 d=1.00223 t=2556
ming ming 	命名	c=2 d=1.97531 t=3226
ming zi 	名字	c=4 d=1.50662 t=3349
mo ca 	摩擦	c=1 d=1 t=3373
mo kuai 	模塊	c=1 d=1 t=817
mo ming qi miao 	莫名其妙	c=1 d=1 t=433
mo mo 	默默	c=0 d=0.1 t=127
mo mo deng dai 	默默等待	c=1 d=1 t=128
mo ni 	模擬	c=2 d=1.97045 t=1643
mo ren 	默認	c=2 d=1.91851 t=564
mo shi 	模式	c=2 d=1.99005 t=2703
mo xing 	模型	c=16 d=3.04784 t=3324
mu biao 	目標	c=3 d=2.60861 t=1055
mu biao jie dian 	目標節點	c=1 d=1 t=1056
mu di 	目的	c=1 d=1 t=1292
mu lu 	目錄	c=5 d=1.01443 t=2440
mu qian 	目前	c=8 d=1.18767 t=2283
na bian 	那邊	c=2 d=1.28794 t=2530
na dao 	拿到	c=1 d=1 t=866
na ge 	那個	c=1 d=1 t=2587
na li 	那裏	c=1 d=1 t=2667
na xie 	哪些	c=1 d=1 t=1528
na yi 	哪一	c=0 d=0.1 t=335
na yi zhong 	哪一中	c=1 d=1 t=336
nan da 	南大	c=0 d=0.1 t=1769
nan da tong yong 	南大通用	c=2 d=1.0003 t=3390
nan kai 	南開	c=2 d=1.99501 t=586
nei 	內	c=1 d=1 t=1422
nei bu 	內部	c=12 d=1.39996 t=2747
nei ce 	內測	c=1 d=1 t=312
nei cun 	內存	c=9 d=1.20759 t=1156
nei he 	內核	c=1 d=1 t=121
nei rong 	內容	c=5 d=1.00346 t=3196
nei wang 	內網	c=1 d=1 t=1754
neng 	能	c=5 d=2.32265 t=3106
neng bu neng 	能不能	c=1 d=1 t=3173
neng fou 	能否	c=1 d=1 t=3171
neng gou 	能夠	c=1 d=1 t=1366
ni 	你	c=1 d=1.00027 t=1776
ni hao 	你好	c=4 d=3.96032 t=2609
nin hao 	您好	c=1 d=1 t=2855
ou shu 	偶數	c=1 d=1 t=1483
pa cao 	怕草	c=1 d=1 t=1458
pai sheng 	派生	c=0 d=0.101576 t=2918
pai sheng lei 	派生類	c=2 d=1.75201 t=2976
pai sheng zi 	派生自	c=1 d=1 t=2089
pei zhi 	配置	c=3 d=1.99665 t=784
pi liang 	批量	c=1 d=1 t=1907
pi neng 	俾能	c=1 d=1 t=2836
piao liang 	漂亮	c=1 d=1 t=2464
pin fan 	頻繁	c=2 d=1.76721 t=699
pin yin 	拼音	c=2 d=1.35169 t=2252
ping gu 	評估	c=1 d=1 t=2472
ping shen 	評審	c=3 d=1.99445 t=3339
ping tai 	平臺	c=1 d=1 t=2385
ping xing 	平行	c=1 d=1 t=1792
qi 	其	c=14 d=3.47655 t=2993
qi dao 	起到	c=1 d=1 t=3167
qi dong 	啓動	c=1 d=1.09656 t=1623
qi dong hou 	啓動後	c=1 d=1 t=1617
qi lai 	起來	c=1 d=1 t=845
qi shi 	其實	c=3 d=1.00003 t=2397
qi ta 	其他	c=3 d=1.00041 t=2384
qi yong 	啓用	c=1 d=1 t=1801
qi zhong 	其中	c=8 d=1.00066 t=3327
qian 	錢	c=0 d=0.1 t=2207
qian que 	欠缺	c=1 d=1 t=894
qian ti 	前提	c=1 d=1 t=2566
qian wen 	前文	c=1 d=1 t=285
qian yi zhen 	錢一陣	c=1 d=1 t=2208
qie 	且	c=2 d=1.80654 t=2951
qie huan 	切換	c=1 d=1 t=2382
qing 	請	c=2 d=1.06555 t=3054
qing chu 	清楚	c=1 d=1 t=3048
qing kuang 	情況	c=7 d=1.00076 t=3111
qing kuang xia 	情況下	c=1 d=1 t=3032
qing qiu 	請求	c=3 d=1.9884 t=1428
qing xi 	清晰	c=0 d=0.1 t=3205
qiu zhu 	求助	c=1 d=1 t=2851
qu 	去	c=2 d=1.00622 t=2317
qu de 	取得	c=1 d=1 t=1349
qu diao 	去掉	c=1 d=1 t=2832
qu le 	去了	c=1 d=1 t=873
qu xiao 	取消	c=2 d=1.81873 t=1922
qu zheng 	取整	c=2 d=1.75578 t=502
quan ju 	全局	c=2 d=1.00058 t=1849
quan ju xin xi 	全局信息	c=1 d=1 t=490
quan li 	權利	c=1 d=1.09277 t=430
quan li de you xi 	權利的遊戲	c=1 d=1 t=416
que bao 	確保	c=1 d=1 t=3083
que shao 	缺少	c=1 d=1 t=3160
que shi 	確實	c=3 d=1.00006 t=2798
ran hou 	然後	c=6 d=1.00922 t=2638
ren 	人	c=2 d=1.22425 t=878
ren he 	任何	c=3 d=1.00258 t=3184
ren wei 	認爲	c=1 d=1 t=1507
ren wu 	人物	c=1 d=1 t=415
ren wu 	任務	c=9 d=2.40745 t=2972
ren yi 	任意	c=1 d=1 t=1094
reng you 	仍有	c=1 d=1 t=2954
rong yi 	容易	c=1 d=1 t=3305
rong yi chu cuo 	容易出錯	c=1 d=1 t=994
ru 	入	c=1 d=1 t=2365
ru 	如	c=1 d=1 t=230
ru guo 	如果	c=27 d=3.01262 t=3273
ru guo cun zai 	如果存在	c=1 d=1 t=459
ru he 	如何	c=1 d=1 t=2183
ru he chu li 	如何處理	c=1 d=1 t=2062
ru men 	入門	c=1 d=1 t=3393
ru xia 	如下	c=6 d=1.70105 t=2907
ru zhi 	入職	c=1 d=1 t=2881
ruo gan 	若干	c=7 d=1.063 t=3384
san ge 	三個	c=1 d=1 t=1985
san tiao 	三條	c=1 d=1 t=440
sao 	掃	c=0 d=0.1 t=2239
sao miao 	掃描	c=1 d=1 t=1599
sao yi xia 	掃一下	c=1 d=1 t=2240
shan chu 	刪除	c=1 d=1 t=583
shan tie 	刪貼	c=1 d=1 t=437
shang 	上	c=15 d=1.95065 t=3272
shang ceng 	上層	c=1 d=1 t=1555
shang ci 	上次	c=1 d=1 t=2267
shang qu 	上去	c=1 d=1 t=3343
shang shu 	上述	c=1 d=1 t=344
shang wu 	上午	c=1 d=1 t=2226
shang you 	上游	c=1 d=1 t=2398
shang zhou 	上週	c=2 d=1.04505 t=2829
shao 	少	c=1 d=1 t=911
shao wei 	稍微	c=1 d=1 t=893
shao you 	稍有	c=1 d=0.874916 t=2985
shao you bu tong 	稍有不同	c=1 d=1 t=2986
she bei 	設備	c=0 d=0.214816 t=205
she ji 	涉及	c=1 d=1 t=2808
she ji 	設計	c=3 d=1.32395 t=2807
she zhi 	設置	c=7 d=2.32143 t=1812
shen me 	什麼	c=1 d=1 t=2607
shen yue 	審閱	c=1 d=1 t=3345
shen zhong 	慎重	c=1 d=1 t=825
sheng 	聖	c=1 d=1 t=605
sheng cheng 	生成	c=3 d=1.12242 t=2931
shi 	事	c=1 d=1 t=3382
shi 	使	c=1 d=1 t=1837
shi 	是	c=25 d=1.95293 t=3276
shi 	時	c=13 d=5.25386 t=2994
shi 	視	c=2 d=1.96079 t=633
shi bie 	識別	c=1 d=1 t=2666
shi bu shi 	是不是	c=3 d=1.06675 t=2870
shi dang 	適當	c=1 d=1 t=306
shi fou 	是否	c=9 d=2.1765 t=2944
shi hou 	時候	c=8 d=2.22796 t=2797
shi ji 	實際	c=3 d=1.00004 t=3181
shi jian 	事件	c=1 d=1 t=1621
shi jian 	時間	c=7 d=1.03797 t=3335
shi li 	實例	c=2 d=1.05182 t=1848
shi li 	示例	c=2 d=1.96079 t=1596
shi shi 	試試	c=3 d=1.73621 t=2886
shi wu 	事務	c=1 d=1 t=1556
shi xian 	實現	c=7 d=1.60984 t=3188
shi xian le 	實現了	c=1 d=1 t=2097
shi yong 	使用	c=22 d=1.87085 t=3260
shi yong 	實用	c=1 d=1 t=3241
shi yong 	試用	c=4 d=3.37045 t=2218
shi yong fang shi 	使用方式	c=1 d=1 t=1244
shi yong lv 	使用率	c=1 d=1 t=1015
shi yong zhe 	使用者	c=7 d=4.04317 t=1894
shi zhong 	始終	c=3 d=1 t=3189
shou bu dao 	收不到	c=1 d=1 t=2007
shou ce 	手冊	c=1 d=1 t=2892
shou dao 	收到	c=3 d=2.09811 t=1630
shou dong 	手動	c=4 d=1.03834 t=3354
shou jian 	收件	c=1 d=1 t=2036
shou lei 	受累	c=5 d=1.0165 t=3353
shou qu 	收取	c=1 d=1 t=1112
shou tou 	手頭	c=1 d=1 t=2284
shou xian 	首先	c=1 d=1 t=196
shou zi mu 	首字母	c=2 d=1.35169 t=2253
shu 	數	c=1 d=1.09005 t=1812
shu 	熟	c=0 d=0.1 t=862
shu ju 	數據	c=30 d=2.87838 t=3004
shu ju bao 	數據包	c=3 d=2.4905 t=1500
shu ju ji shu 	數據技術	c=1 d=1 t=1771
shu ju jie gou 	數據結構	c=1 d=1 t=251
shu ju ku 	數據庫	c=1 d=1 t=560
shu ju lian jie 	數據鏈接	c=1 d=1 t=1003
shu ju liu 	數據流	c=1 d=1 t=1581
shu liang 	數量	c=2 d=1.00007 t=3002
shu xi 	熟悉	c=1 d=1 t=927
shu xing 	屬性	c=0 d=0.1 t=2742
shu yu 	屬於	c=2 d=1 t=2549
shu zu 	數組	c=0 d=0.1 t=513
shua dao 	刷到	c=1 d=1 t=2801
shuang 	雙	c=1 d=1 t=1784
shui 	水	c=0 d=0.1 t=3303
shui 	誰	c=1 d=1 t=2016
shuo ming 	說明	c=1 d=1 t=2785
song ce 	送測	c=4 d=2.21973 t=3122
song huo 	送貨	c=1 d=1 t=2162
su 	素	c=1 d=1 t=1787
su duo 	素多	c=6 d=1.92129 t=2835
sui hou 	隨後	c=2 d=1.89583 t=234
sui ji 	隨即	c=1 d=1 t=1859
sui kai 	隨開	c=1 d=1 t=983
sui yong 	隨用	c=1 d=1 t=982
suo 	所	c=1 d=1 t=3105
suo shi 	所示	c=1 d=1 t=1586
suo xie 	縮寫	c=1 d=1 t=2045
suo yi 	所以	c=1 d=1 t=536
suo you 	所有	c=9 d=1.58136 t=1854
suo zai 	所在	c=1 d=1 t=902
ta 	他	c=2 d=1.84789 t=897
ta 	它	c=2 d=1.0002 t=2202
ta li mian 	它裏面	c=1 d=1 t=50
ta men 	他們	c=2 d=1.956 t=2534
ta shi 	踏實	c=1 d=1 t=880
tai 	台	c=1 d=1 t=598
tai da 	太大	c=1 d=1 t=3090
tai duo 	太多	c=2 d=1.00003 t=2811
tao lun 	討論	c=5 d=3.11356 t=2211
te bie 	特別	c=2 d=1.76721 t=698
te shu 	特殊	c=0 d=0.191851 t=63
te shu ge shi 	特殊格式	c=1 d=1 t=47
te shu wen jian 	特殊文件	c=1 d=1 t=64
ti 	提	c=0 d=0.1 t=3312
ti chu 	提出	c=1 d=1 t=1021
ti dai 	替代	c=1 d=1 t=1033
ti dao 	提到	c=3 d=1.8312 t=2136
ti gong 	提供	c=7 d=1.01771 t=3026
ti gong le 	提供了	c=1 d=1 t=339
ti sheng 	提升	c=1 d=1 t=3192
ti shi 	提示	c=1 d=0.100261 t=2833
ti yi xia 	提一下	c=1 d=1 t=3313
tian chong 	填充	c=1 d=1 t=240
tian da 	天大	c=1 d=1 t=595
tian hong 	天鴻	c=1 d=1 t=874
tian jia 	添加	c=20 d=1.35311 t=3291
tian jin 	天津	c=2 d=1.0005 t=1769
tian xie 	填寫	c=1 d=1 t=3342
tiao ge 	挑個	c=1 d=1 t=2620
tiao shi 	調試	c=5 d=1.72068 t=3161
tiao shi xin xi 	調試信息	c=2 d=1 t=3140
ting 	挺	c=1 d=1 t=2034
ting dao 	聽到	c=1 d=1 t=2269
tong 	同	c=2 d=1.71892 t=98
tong deng 	同等	c=0 d=0.1 t=455
tong deng da xiao 	同等大小	c=2 d=1.97045 t=462
tong guo 	通過	c=15 d=1.15369 t=3277
tong guo gai 	通過該	c=1 d=1 t=1415
tong ji 	統計	c=1 d=0.121818 t=2767
tong ji xin xi 	統計信息	c=1 d=1 t=2768
tong shi 	同事	c=1 d=1 t=2880
tong shi 	同時	c=1 d=1 t=1151
tong yang 	同樣	c=1 d=1 t=357
tong yi 	同一	c=1 d=1 t=1062
tong yi 	統一	c=1 d=1 t=2522
tong yong 	通用	c=2 d=1.94763 t=1818
tong zhi 	通知	c=1 d=1.04819 t=1229
tong zhi gei 	通知給	c=1 d=1 t=1084
tou ming 	透明	c=1 d=1 t=1051
tu 	圖	c=1 d=1 t=1585
tu pian 	圖片	c=1 d=1 t=428
tui chi 	推遲	c=1 d=1 t=2873
wa wa 	娃娃	c=1 d=1 t=584
wan 	完	c=1 d=1 t=2611
wan 	玩	c=0 d=0.1 t=2168
wan bi 	完畢	c=1 d=1 t=1339
wan cheng 	完成	c=4 d=1.10136 t=3112
wan le 	完了	c=1 d=1 t=1762
wan quan 	完全	c=1 d=1 t=2483
wan yi xia 	玩一下	c=1 d=1 t=2169
wang ji 	忘記	c=0 d=0.1 t=2612
wang jia 	王佳	c=1 d=1 t=1741
wang ka 	網卡	c=1 d=1 t=1785
wang luo 	網絡	c=13 d=2.08909 t=3319
wang ye 	網頁	c=1 d=1 t=406
wang zhi 	網址	c=1 d=1 t=2251
wei 	未	c=2 d=1.00135 t=2837
wei 	爲	c=21 d=1.52556 t=3356
wei hu 	維護	c=3 d=1.00222 t=2340
wei kong 	爲空	c=1 d=1 t=325
wei kuai 	尾塊	c=1 d=1 t=2054
wei le 	爲了	c=1 d=1 t=1836
wei man 	未滿	c=1 d=1 t=2055
wei shen me 	爲什麼	c=2 d=1.00032 t=3348
wei yi 	唯一	c=2 d=1.1097 t=1850
wen dang 	文檔	c=6 d=2.62984 t=3114
wen jian 	文件	c=14 d=2.17936 t=3166
wen jian xi tong 	文件系統	c=6 d=4.63438 t=186
wen jian xi tong lie biao 	文件系統列表	c=1 d=1 t=140
wen jian xi tong zhong 	文件系統中	c=1 d=1 t=3
wen ti 	問題	c=9 d=1.13377 t=3362
wen ti le 	問題了	c=1 d=1 t=2577
wen yi xia 	問一下	c=1 d=1 t=919
wen zi 	文字	c=1 d=1 t=2568
wo 	我	c=24 d=2.27068 t=3311
wo de 	我的	c=1 d=1 t=1974
wo men 	我們	c=6 d=1.7767 t=2538
wo shou 	握手	c=1 d=1 t=990
wo zhe 	我這	c=1 d=1 t=2282
wu 	無	c=3 d=1.28669 t=2452
wu fa 	無法	c=2 d=1.01051 t=2663
wu jie 	誤解	c=1 d=1 t=937
wu yi yi 	無意義	c=1 d=1 t=3198
wu zhong 	五種	c=1 d=1 t=341
xi jie 	細節	c=1 d=1 t=1281
xi tong 	系統	c=4 d=1.15987 t=957
xi tong diao yong 	系統調用	c=1 d=1 t=173
xia 	下	c=6 d=1.05823 t=2441
xia ci 	下次	c=1 d=1 t=3337
xia lie 	下列	c=1 d=1 t=2567
xia tu 	下圖	c=1 d=1 t=231
xia wu 	下午	c=1 d=1 t=2023
xia zhou 	下週	c=2 d=1.98511 t=2173
xian 	先	c=1 d=1 t=2168
xian cheng 	線程	c=12 d=1.18208 t=1812
xian cheng shu 	線程數	c=1 d=1 t=1813
xian ding 	限定	c=1 d=1 t=1163
xian guang 	賢廣	c=1 d=1 t=1992
xian shi 	現實	c=2 d=1.03388 t=1287
xian shi 	顯示	c=1 d=1 t=3350
xian xing 	線性	c=1 d=1 t=3191
xian you 	現有	c=5 d=1.02633 t=3175
xian zai 	現在	c=6 d=2.69732 t=2371
xian zhi 	閒置	c=1 d=1 t=634
xiang 	向	c=9 d=2.01841 t=3033
xiang 	想	c=2 d=1.01786 t=3095
xiang dang yu 	相當於	c=1 d=1 t=852
xiang dui 	相對	c=1 d=1 t=992
xiang guan 	相關	c=4 d=1.00186 t=3113
xiang lin 	相鄰	c=2 d=2.05591 t=461
xiang lin de 	相鄰的	c=1 d=1 t=452
xiang shang 	向上	c=2 d=1.75578 t=501
xiang tong 	相同	c=8 d=1.76292 t=2981
xiang xi 	詳細	c=2 d=1.04117 t=3051
xiang xiang 	想想	c=3 d=1.73788 t=804
xiang xiang 	想象	c=1 d=1 t=3107
xiang yao 	想要	c=1 d=1 t=2409
xiang ying 	相應	c=4 d=1.00074 t=2971
xiang ying 	響應	c=2 d=1.00432 t=2715
xiao 	小	c=1 d=1.00001 t=2216
xiao duan cun chu 	小端存儲	c=1 d=1 t=294
xiao fan wei 	小範圍	c=1 d=1 t=2164
xiao hui 	銷毀	c=2 d=1.96079 t=1860
xiao lv 	效率	c=1 d=1 t=673
xiao xiao 	小小	c=1 d=1 t=589
xiao xing 	小型	c=1 d=1 t=112
xiao yu 	小於	c=1 d=1 t=69
xie 	些	c=1 d=1 t=667
xie 	寫	c=4 d=1.29831 t=2683
xie cheng 	寫成	c=1 d=1 t=1633
xie dao 	寫到	c=1 d=1 t=2787
xie le 	寫了	c=1 d=1 t=3037
xie lou 	泄漏	c=1 d=1 t=375
xie ru 	寫入	c=3 d=1.90575 t=2734
xie shang 	寫上	c=1 d=1 t=2646
xie yi 	協議	c=3 d=2.00288 t=2195
xin 	新	c=24 d=2.07079 t=3318
xin de 	新的	c=7 d=1.15854 t=1950
xin jian 	新建	c=2 d=1.956 t=1438
xin mo xing 	新模型	c=1 d=1 t=1536
xin shou 	新手	c=1 d=1 t=3392
xin wen jian 	新文件	c=2 d=1.86936 t=2358
xin xi 	信息	c=4 d=0.347848 t=2767
xing ge 	性格	c=1 d=1 t=883
xing ming 	姓名	c=1 d=1 t=2254
xing neng 	性能	c=6 d=3.10546 t=3396
xiu gai 	修改	c=3 d=1.01902 t=3134
xu lie hua 	序列化	c=1 d=1 t=268
xu qiu 	需求	c=1 d=1 t=1242
xu yao 	需要	c=19 d=2.71247 t=3120
xuan qu 	選取	c=1 d=1 t=790
xuan ze 	選擇	c=3 d=2.86951 t=1258
xue de 	學得	c=1 d=1 t=922
xue xi 	學習	c=1 d=1 t=928
xun zhao 	尋找	c=1 d=1 t=1419
ya 	呀	c=1 d=1 t=425
ya 	雅	c=1 d=1 t=2013
ya suo 	壓縮	c=1 d=1 t=2060
yan 	眼	c=1 d=1 t=603
yan chi 	延遲	c=2 d=1.82283 t=690
yan fa 	研發	c=1 d=1 t=3065
yang 	楊	c=0 d=0.1 t=1687
yang ying chao 	楊英超	c=8 d=1.39208 t=3064
yao 	要	c=2 d=1.99501 t=602
yao qiu 	要求	c=2 d=1.97531 t=1442
ye 	也	c=13 d=2.15324 t=2719
ye 	頁	c=1 d=1 t=3290
ye hui 	也會	c=1 d=1 t=1858
ye mei 	頁眉	c=1 d=1 t=2047
ye shi 	也是	c=2 d=1.01025 t=951
ye wu 	業務	c=1 d=1 t=1559
ye you 	也有	c=0 d=0.1 t=484
ye you yi ge 	也有一個	c=1 d=1 t=485
yi 	以	c=9 d=1.85338 t=2702
yi 	已	c=2 d=1.25872 t=3230
yi 	軼	c=1 d=1 t=1767
yi ban 	一般	c=1 d=1 t=617
yi bian 	以便	c=2 d=1.00035 t=3294
yi bu 	一部	c=1 d=1 t=3066
yi chang 	異常	c=2 d=1.93707 t=3110
yi ci 	一次	c=3 d=1.45399 t=2739
yi dan 	一旦	c=2 d=1.00896 t=1884
yi dian 	一點	c=1 d=1 t=895
yi duan 	一段	c=2 d=1.89583 t=657
yi fei qi 	已廢棄	c=2 d=1.99501 t=3232
yi fen 	一份	c=1 d=1 t=2229
yi ge 	一個	c=34 d=1.38691 t=3178
yi hou 	以後	c=6 d=3.58444 t=2348
yi ji 	以及	c=3 d=1.00214 t=3297
yi jian 	意見	c=1 d=1 t=2532
yi jing 	已經	c=4 d=1.47747 t=1926
yi qian 	以前	c=1 d=1 t=2265
yi ran 	依然	c=1 d=1 t=1047
yi si 	意思	c=1 d=1 t=418
yi tai 	一臺	c=1 d=1 t=1670
yi tiao 	一條	c=1 d=1 t=421
yi wan cheng 	已完成	c=1 d=1 t=2850
yi xia 	一下	c=8 d=0.845162 t=3312
yi xie 	一些	c=4 d=1.00002 t=2948
yi yang 	一樣	c=2 d=1.66698 t=115
yi you 	已由	c=1 d=1 t=2583
yi zhen 	一陣	c=0 d=0.1 t=2207
yi zhi 	一直	c=1 d=1 t=2400
yi zhi 	已知	c=1 d=1 t=1955
yi zhu ce 	已註冊	c=1 d=1 t=138
yin ru 	引入	c=2 d=1.58567 t=2406
ying 	應	c=1 d=1 t=3223
ying chao 	英超	c=10 d=2.04151 t=3131
ying cun 	英寸	c=1 d=1 t=1760
ying gai 	應該	c=12 d=2.38554 t=3267
ying pan 	硬盤	c=1 d=1 t=273
ying yong 	應用	c=1 d=1 t=3182
yong 	用	c=16 d=0.777697 t=3379
yong dao 	用到	c=1 d=1 t=1471
yong du 	擁堵	c=1 d=1 t=754
yong fa 	用法	c=1 d=1 t=3391
yong hu 	用戶	c=2 d=1.23457 t=811
yong hu ming 	用戶名	c=1 d=1 t=2041
yong li 	用例	c=1 d=1 t=1939
yong liang tian 	用兩天	c=1 d=1 t=3380
yong qi lai 	用起來	c=1 d=1 t=847
yong wan 	用完	c=2 d=1.86502 t=1013
yong yu 	用於	c=18 d=1.00812 t=3268
yong zuo 	用作	c=1 d=1 t=555
you 	有	c=20 d=2.56634 t=3328
you 	由	c=4 d=1.01228 t=2257
you dian 	有點	c=2 d=1.97531 t=3370
you er yuan 	幼兒園	c=1 d=1 t=587
you ge 	有個	c=1 d=1 t=2668
you hao 	友好	c=1 d=1 t=2470
you hua 	優化	c=2 d=1.1979 t=3397
you jian 	郵件	c=5 d=2.86524 t=3284
you jian zu 	郵件組	c=1 d=1 t=1989
you ke neng 	有可能	c=1 d=1 t=1888
you qi 	尤其	c=1 d=1 t=703
you shi jian 	有時間	c=2 d=1.00043 t=2236
you wen ti 	有問題	c=1 d=1 t=926
you xi 	遊戲	c=1 d=1.09185 t=432
you xian gong si 	有限公司	c=1 d=1 t=1773
you xian ji 	優先級	c=1 d=1 t=2602
you xie 	有些	c=3 d=1.0017 t=3274
you yu 	由於	c=4 d=1.50165 t=3322
yu 	於	c=1 d=1 t=2012
yu 	與	c=24 d=4.39235 t=3193
yu fa 	語法	c=1 d=1 t=2563
yu qi 	預期	c=1 d=1 t=2792
yu yan xun lian 	語言訓練	c=1 d=1 t=596
yu zhi 	與之	c=1 d=1 t=60
yuan dai ma 	源代碼	c=1 d=1 t=1935
yuan gong 	員工	c=1 d=1 t=2891
yuan lai 	原來	c=1 d=1 t=3375
yuan sheng 	原生	c=2 d=1.76721 t=2430
yuan shu ju 	元數據	c=1 d=1 t=25
yuan tu 	原圖	c=1 d=1 t=419
yuan wen jian 	源文件	c=1 d=1 t=2095
yuan xing 	原型	c=2 d=1.09163 t=1942
yuan yin 	原因	c=1 d=1 t=2700
yuan you 	原有	c=2 d=1.12185 t=1455
zai 	再	c=7 d=2.90922 t=2349
zai 	在	c=25 d=3.06223 t=3029
zai shuo 	再說	c=1 d=1 t=714
zai xian 	在線	c=3 d=2.92644 t=599
zai yi ge 	在一個	c=1 d=1 t=1421
zai yu 	在於	c=2 d=1 t=2929
zai zuo 	再做	c=2 d=1.24293 t=2738
zan huan 	暫緩	c=1 d=1 t=2446
zan men 	咱們	c=6 d=1.09136 t=3172
zan shi 	暫時	c=1 d=1 t=1740
ze 	則	c=15 d=2.71331 t=3011
ze ji 	擇機	c=1 d=1 t=1185
zen me 	怎麼	c=1 d=1 t=130
zen me yang 	怎麼樣	c=1 d=1 t=184
zeng jia 	增加	c=4 d=1.98657 t=3386
zeng jia le 	增加了	c=1 d=1 t=367
zhai zi 	摘自	c=1 d=1 t=2569
zhan 	沾	c=1 d=1 t=424
zhan shi 	展示	c=2 d=1.97045 t=2468
zhan yong 	佔用	c=2 d=1.94649 t=90
zhang kai 	張楷	c=1 d=1 t=862
zhang san feng 	張三丰	c=1 d=1 t=2545
zhao bu zhao 	找不着	c=1 d=1 t=3306
zhao dao 	找到	c=1 d=1 t=145
zhao shui 	找誰	c=1 d=1 t=1978
zhao xia 	找下	c=1 d=1 t=2011
zhe 	這	c=2 d=1.25158 t=851
zhe bian 	這邊	c=1 d=1 t=2405
zhe ge 	這個	c=17 d=1.26922 t=3263
zhe ge yue 	這個月	c=1 d=1 t=1782
zhe li 	這裏	c=3 d=1.04906 t=1544
zhe me 	這麼	c=0 d=0.1 t=123
zhe xie 	這些	c=2 d=1 t=3256
zhe yang 	這樣	c=5 d=1.99118 t=2308
zhe yang zuo 	這樣做	c=2 d=1.23693 t=2410
zhe yi bu 	這一步	c=1 d=1 t=2443
zhe zhong 	折衷	c=1 d=1 t=676
zhen shi 	真是	c=1 d=1 t=577
zheng ci mi 	整次冪	c=1 d=1 t=504
zheng ge 	整個	c=1 d=1 t=2394
zheng he 	整合	c=1 d=1 t=2848
zheng li 	整理	c=4 d=1.08445 t=3336
zheng qiang 	爭搶	c=1 d=1 t=719
zheng que 	正確	c=2 d=1.06754 t=3103
zheng shi 	正式	c=1 d=1 t=3338
zheng zai 	正在	c=1 d=1 t=1931
zhi 	之	c=0 d=0.1 t=464
zhi 	值	c=3 d=0.995096 t=976
zhi 	只	c=2 d=1.0004 t=2541
zhi 	至	c=1 d=1 t=3141
zhi chi 	支持	c=3 d=2.00051 t=2378
zhi chu 	之初	c=1 d=1 t=2560
zhi chu 	之處	c=2 d=1 t=2928
zhi de 	值得	c=2 d=1.00002 t=2477
zhi de 	只得	c=1 d=1 t=1545
zhi de 	指的	c=1 d=1 t=1546
zhi ding 	制定	c=1 d=1 t=255
zhi ding 	指定	c=8 d=1.00046 t=3001
zhi ding de 	指定的	c=1 d=1 t=256
zhi guan 	直觀	c=1 d=1 t=3218
zhi hou 	之後	c=10 d=1.80737 t=2736
zhi jian 	之間	c=4 d=3.01272 t=1006
zhi jie 	直接	c=15 d=3.79084 t=3012
zhi kong 	指控	c=1 d=1 t=1715
zhi neng 	只能	c=2 d=1.00001 t=2627
zhi qian 	之前	c=7 d=2.0923 t=3340
zhi shi 	只是	c=3 d=1.01063 t=3312
zhi shi 	知識	c=1 d=1 t=3269
zhi shi yong 	值使用	c=1 d=1 t=977
zhi wai 	之外	c=1 d=1 t=28
zhi xiang 	指向	c=3 d=1.3485 t=402
zhi xing 	執行	c=9 d=3.22014 t=3019
zhi you 	只有	c=2 d=1.00242 t=2708
zhi zhen 	指針	c=7 d=3.67163 t=405
zhong 	中	c=47 d=5.0153 t=3202
zhong 	種	c=2 d=1.96079 t=1475
zhong de 	中的	c=1 d=1 t=170
zhong dian 	重點	c=1 d=1 t=3307
zhong wen 	中文	c=3 d=2.01949 t=3395
zhong yao 	重要	c=3 d=1.15369 t=3298
zhou bao 	週報	c=1 d=1 t=2812
zhou yi 	週一	c=2 d=1.99501 t=2876
zhu 	主	c=1 d=1 t=944
zhu ce 	註冊	c=6 d=1.10166 t=1761
zhu ce dao 	註冊到	c=1 d=1 t=120
zhu cun 	主存	c=1 d=1 t=553
zhu dong 	主動	c=2 d=1.24171 t=1477
zhu ge 	逐個	c=1 d=1 t=1354
zhu shi 	註釋	c=1 d=1 t=2634
zhu yao 	主要	c=1 d=1 t=2333
zhu yi 	注意	c=1 d=1 t=1543
zhuan huan 	轉換	c=2 d=1.956 t=308
zhuang tai 	狀態	c=0 d=0.1 t=1563
zhuang tai ma 	狀態碼	c=1 d=1 t=1564
zhui zong 	追蹤	c=1 d=1 t=2815
zi 	自	c=0 d=0.1 t=2088
