# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
gai wen ti 	該問題	c=2 d=1 t=12145
gai xia 	改下	c=4 d=1 t=51235
gai xie 	改寫	c=1 d=1 t=12275
gai yao 	概要	c=3 d=1 t=48644
gai ye 	該頁	c=6 d=2.83461 t=34747
gai yi xia 	改一下	c=2 d=1 t=57744
gai yong 	改用	c=2 d=1 t=56837
gai zai 	改在	c=1 d=1 t=45537
gai zao 	改造	c=2 d=1.97531 t=50193
gai zheng 	改正	c=2 d=1 t=54076
gai zhi 	該值	c=4 d=1 t=44017
gan 	幹	c=4 d=1 t=35624
gan 	感	c=2 d=1 t=22153
gan cui 	乾脆	c=4 d=1 t=57155
gan huo 	幹活	c=2 d=1 t=33551
gan jing 	乾淨	c=1 d=1 t=34887
gan jue 	感覺	c=31 d=0.460704 t=59920
gan kuai 	趕快	c=1 d=1 t=8093
gan ma 	幹嘛	c=2 d=1.99501 t=30415
gan rao 	干擾	c=2 d=1 t=36637
gan sha 	幹啥	c=4 d=1.06721 t=38541
gan xie 	感謝	c=2 d=1 t=42232
gan xing qu 	感興趣	c=6 d=0.121846 t=59920
gan yu 	干預	c=2 d=1.00241 t=7562
gang 	剛	c=13 d=1 t=59812
gang cai 	剛纔	c=16 d=1 t=51239
gang gai wan 	剛改完	c=1 d=1 t=10596
gang gang 	剛剛	c=34 d=1 t=59517
gang hui lai 	剛回來	c=3 d=1.01151 t=13746
gang kan jian 	剛看見	c=6 d=1 t=57835
gang ni 	剛你	c=1 d=1 t=44117
gang song 	剛送	c=1 d=1 t=47051
gang ti 	剛體	c=1 d=1 t=4492
gang xiang 	剛想	c=1 d=1 t=48568
gao 	搞	c=1 d=1 t=8043
gao 	高	c=13 d=6.11357e-06 t=59920
gao chu 	搞出	c=0 d=0.1 t=49364
gao chu le 	搞出了	c=1 d=1 t=49365
gao de 	搞得	c=1 d=1 t=57018
gao dian 	高點	c=1 d=1 t=20185
gao ding 	搞定	c=5 d=1.00062 t=54051
gao ding le 	搞定了	c=2 d=1 t=40475
gao ding me 	搞定麼	c=1 d=1 t=39260
gao liang 	高亮	c=2 d=0.644036 t=59920
gao me 	搞麼	c=1 d=1 t=15949
gao pei 	高配	c=1 d=1 t=31247
gao qing 	搞清	c=1 d=1 t=20701
gao qing chu 	搞清楚	c=1 d=1 t=52831
gao su 	告訴	c=23 d=1 t=59590
gao su 	高速	c=3 d=1 t=48426
gao su hu lian wang luo 	高速互聯網絡	c=3 d=2.95064 t=39817
gao su wo 	告訴我	c=32 d=1.66704 t=56742
gao xiao 	高效	c=1 d=1 t=9755
gao ya li 	高壓力	c=1 d=1 t=31066
gao yi 	高一	c=0 d=0.1 t=6871
gao yi duan luo 	告一段落	c=1 d=1 t=47878
gao yi xie 	高一寫	c=1 d=1 t=6872
gao yu 	高於	c=2 d=1 t=57291
gao zhi 	告之	c=1 d=1 t=36485
gao zhi 	告知	c=3 d=1 t=29084
gao zhi wo 	告知我	c=1 d=1 t=3660
gao zhong 	高中	c=1 d=1 t=13320
ge 	個	c=148 d=0.532534 t=59920
ge 	各	c=4 d=1 t=57431
ge 	哥	c=1 d=1 t=7967
ge dian 	個點	c=1 d=1 t=36400
ge ge 	各個	c=12 d=1.00001 t=53156
ge men 	哥們	c=1 d=7.44912e-07 t=59920
ge ren 	個人	c=30 d=0.470746 t=59920
ge shi 	格式	c=11 d=0.433874 t=59920
ge shi hua 	格式化	c=31 d=1 t=51750
ge shi hua dai ma 	格式化代碼	c=1 d=1 t=15716
ge shi hua le 	格式化了	c=1 d=1 t=26330
ge shu 	個數	c=6 d=6.37954e-07 t=59920
ge wei 	各位	c=10 d=0.0236296 t=59920
ge zhong 	各種	c=18 d=2.35866e-07 t=59920
ge zi 	各自	c=3 d=2.40631e-07 t=59920
ge zu 	各組	c=1 d=1 t=35807
gei 	給	c=92 d=0.322116 t=59920
gei chu 	給出	c=38 d=2.82478 t=54710
gei chu ge 	給出個	c=1 d=1 t=36733
gei chu le 	給出了	c=2 d=1 t=54403
gei dian 	給點	c=1 d=1 t=41525
gei ge 	給個	c=2 d=1 t=37939
gei le 	給了	c=1 d=0.112873 t=48880
gei ni 	給你	c=18 d=1 t=49586
gei ren 	給人	c=1 d=1 t=56199
gei wo 	給我	c=9 d=0.00117371 t=59920
gei zai 	給在	c=1 d=1 t=32499
gen 	根	c=2 d=9.3062e-08 t=59920
gen 	跟	c=1 d=1 t=46185
gen ben 	根本	c=1 d=1 t=20334
gen feng 	跟風	c=1 d=1 t=9006
gen jin 	跟進	c=4 d=1 t=31882
gen ju 	根據	c=71 d=0.905663 t=59920
gen mu lu 	根目錄	c=1 d=1 t=35423
gen shang 	跟上	c=1 d=1 t=30472
gen zhe 	跟着	c=1 d=1 t=9743
gen zong 	跟蹤	c=6 d=5.35535e-07 t=59920
geng 	更	c=38 d=0.858593 t=59920
geng chang 	更長	c=1 d=1 t=32900
geng da 	更大	c=3 d=1 t=39969
geng duo 	更多	c=28 d=1.01086 t=59920
geng gai 	更改	c=24 d=1.88176 t=59857
geng gao 	更高	c=2 d=1.00006 t=44999
geng gao dian 	更高點	c=1 d=1 t=33243
geng hao 	更好	c=7 d=1 t=50528
geng hao yi xie 	更好一些	c=1 d=1 t=10411
geng huan 	更換	c=1 d=1 t=46223
geng jia 	更加	c=4 d=1.9802 t=38824
geng jin 	更近	c=1 d=1 t=17920
geng kuai 	更快	c=2 d=1 t=49493
geng ling 	更令	c=1 d=1 t=46350
geng ma fan 	更麻煩	c=1 d=1 t=52856
geng ming 	更名	c=1 d=1 t=32810
geng xiao 	更小	c=1 d=1 t=21353
geng xin 	更新	c=60 d=1.43158 t=59920
geng xin guo qu 	更新過去	c=1 d=1 t=3681
geng xin le 	更新了	c=3 d=1.00779 t=54877
geng xin xia 	更新下	c=1 d=1 t=16511
geng zao 	更早	c=1 d=1 t=41262
geng zheng 	更正	c=1 d=1 t=57810
gong 	供	c=5 d=1 t=48428
gong 	共	c=2 d=1.97531 t=34401
gong 	工	c=3 d=1.64404 t=40290
gong chang 	工廠	c=1 d=1 t=13626
gong cheng 	工程	c=8 d=0.010807 t=59920
gong cheng guan li 	工程管理	c=1 d=1 t=3473
gong cheng shi 	工程師	c=2 d=1 t=22948
gong cun 	共存	c=1 d=1 t=25288
gong gong 	公共	c=5 d=1.09348 t=52260
gong guang xin 	宮廣心	c=1 d=1 t=15477
gong ji 	共計	c=3 d=1 t=16973
gong ji jin 	公積金	c=1 d=0.000303539 t=59920
gong ju 	工具	c=71 d=1.31451 t=59920
gong neng 	功能	c=44 d=0.220303 t=59920
gong neng xing 	功能性	c=1 d=1 t=44298
gong shi 	公式	c=3 d=1 t=48771
gong shi 	工時	c=2 d=1.00048 t=29711
gong si 	公司	c=11 d=1.00069 t=47203
gong tong 	共同	c=2 d=0.000699601 t=59920
gong xian 	貢獻	c=1 d=1 t=16671
gong xiang 	共享	c=48 d=0.530052 t=59920
gong xiang lian jie 	共享鏈接	c=1 d=1 t=12804
gong xiang nei cun 	共享內存	c=1 d=1 t=53423
gong yong 	共用	c=3 d=0.0121008 t=59920
gong you 	共有	c=1 d=1 t=4329
gong zuo 	工作	c=49 d=0.135929 t=59920
gong zuo ji 	工作機	c=7 d=1.00028 t=43985
gong zuo ji shang 	工作機上	c=2 d=1 t=47212
gong zuo le 	共做了	c=1 d=1 t=6164
gong zuo me 	工作麼	c=1 d=1 t=51426
gong zuo zai 	工作在	c=3 d=1.80252 t=50223
gong zuo zhong 	工作中	c=1 d=1 t=22974
gou 	夠	c=8 d=0.227638 t=59920
gou gao 	夠高	c=1 d=1 t=47296
gou jia 	構架	c=1 d=1 t=7723
gou jia tu 	構架圖	c=1 d=1 t=4131
gou jian 	構建	c=8 d=1 t=54828
gou jian le 	構建了	c=1 d=1 t=38254
gou qiang 	夠嗆	c=2 d=1 t=13286
gou tong 	溝通	c=6 d=1.05796 t=59920
gou tong hou 	溝通後	c=1 d=1 t=37190
gou zao 	構造	c=5 d=0.110026 t=49094
gou zao ge 	構造個	c=1 d=1 t=48635
gou zao han shu 	構造函數	c=0 d=0.1 t=13618
gou zao han shu li mian 	構造函數裏面	c=1 d=1 t=39094
gou zao han shu zhong 	構造函數中	c=1 d=1 t=13619
gou zao shi 	構造時	c=1 d=1 t=49095
gou zao wan 	構造完	c=1 d=1 t=38418
gu 	故	c=10 d=1.99005 t=57564
gu 	股	c=0 d=0.1 t=27738
gu ding 	固定	c=1 d=0.1 t=56217
gu fen 	股份	c=1 d=0.000294568 t=59920
gu guai 	古怪	c=1 d=1 t=26166
gu ji 	估計	c=59 d=0.909373 t=59920
gu ji dao shi hou 	估計到時候	c=1 d=1 t=33206
gu ji me 	估計麼	c=1 d=1 t=38768
gu ji zhi 	估計值	c=2 d=1.74082 t=36794
gu ke 	骨科	c=1 d=1 t=47063
gu suan 	估算	c=2 d=1 t=31095
gu yi 	故意	c=3 d=1.9802 t=20583
gua 	掛	c=6 d=1.09827 t=56339
gua diao 	掛掉	c=1 d=1 t=22418
gua qi 	掛起	c=4 d=3.57128e-05 t=59920
gua shang 	掛上	c=11 d=1.82696 t=56405
gua zai 	掛載	c=26 d=3.0202e-07 t=59920
gua zai can shu 	掛載參數	c=1 d=1 t=43347
gua zai shi 	掛載時	c=2 d=1.18825 t=47335
gua zai xuan xiang 	掛載選項	c=1 d=1 t=44522
gua zhe 	掛着	c=4 d=1 t=56872
guai 	怪	c=3 d=1 t=50976
guai guai 	乖乖	c=1 d=1 t=37266
guai guai 	怪怪	c=1 d=1 t=37267
guai le 	怪了	c=1 d=1 t=37076
guan 	管	c=5 d=1.19201 t=7481
guan 	關	c=7 d=1.00438 t=57784
guan bi 	關閉	c=32 d=0.0341723 t=59920
guan bi le 	關閉了	c=1 d=1 t=49552
guan ce 	觀測	c=1 d=1 t=10395
guan cha 	觀察	c=5 d=1 t=48111
guan cha zhe 	觀察者	c=2 d=1 t=8378
guan dao 	管道	c=2 d=6.52016e-05 t=59920
guan dian 	灌點	c=0 d=0.0621885 t=59920
guan dian shui 	灌點水	c=1 d=0.625002 t=59920
guan diao 	關掉	c=9 d=1.13941e-06 t=59920
guan fang 	官方	c=3 d=1.93239 t=15796
guan ji 	關機	c=1 d=1 t=44200
guan jian 	關鍵	c=1 d=1 t=42755
guan jian ci 	關鍵詞	c=2 d=1 t=45827
guan le 	關了	c=1 d=1 t=56710
guan li 	慣例	c=1 d=1 t=14499
guan li 	管理	c=20 d=1.63606 t=58392
guan li mo kuai 	管理模塊	c=1 d=1 t=41324
guan lian 	關聯	c=5 d=0.0225956 t=59920
guan xi 	關係	c=19 d=1.91393 t=59252
guan xin 	關心	c=3 d=1 t=41851
guan yu 	關於	c=29 d=0.119492 t=59920
guan zhu 	關注	c=1 d=1 t=34289
guang 	光	c=2 d=1 t=38059
guang bo 	廣播	c=1 d=1 t=41426
guang fan 	廣泛	c=2 d=1 t=45070
guang pan 	光盤	c=4 d=1.97045 t=44203
guang xi 	廣西	c=2 d=1 t=52859
guang xi yi dong 	廣西移動	c=3 d=1.00003 t=36157
guang xin 	廣心	c=1 d=1 t=24892
gui 	歸	c=1 d=1 t=58133
gui 	鬼	c=1 d=1 t=32164
gui bi 	規避	c=6 d=1 t=53561
gui ding 	規定	c=4 d=2.75013 t=38656
gui fan 	規範	c=16 d=1 t=51706
gui hua 	規劃	c=1 d=1 t=10938
gui huan 	歸還	c=6 d=1 t=56158
gui lv 	規律	c=1 d=1 t=13147
gui mo 	規模	c=5 d=1.68045 t=50088
gui yi 	詭異	c=1 d=1 t=25413
gui ze 	規則	c=8 d=1.47189 t=59920
gun dong tiao 	滾動條	c=3 d=2.79546 t=15630
guo 	過	c=41 d=0.000649004 t=59920
guo 	郭	c=1 d=1 t=22901
guo chang 	過長	c=2 d=1 t=56198
guo cheng 	過程	c=78 d=0.576961 t=59920
guo cheng zhong 	過程中	c=9 d=1 t=52946
guo da 	過大	c=3 d=1 t=56186
guo duo 	過多	c=6 d=1 t=53501
guo gao 	過高	c=2 d=1.96561 t=59623
guo ji tian 	過幾天	c=1 d=1 t=41513
guo jie 	國傑	c=1 d=1 t=12578
guo jie 	國節	c=14 d=2.84323 t=52527
guo lai 	過來	c=21 d=3.27236e-06 t=59920
guo le 	過了	c=2 d=1 t=53940
guo lia tian 	過倆天	c=1 d=1 t=39309
guo luan 	過亂	c=1 d=1 t=36635
guo lv 	過濾	c=5 d=1.08923 t=54707
guo me 	過麼	c=1 d=1 t=28328
guo min dang 	國民黨	c=1 d=3.23198e-07 t=59920
guo nei 	國內	c=1 d=1 t=27553
guo qu 	過去	c=17 d=1 t=47027
guo qu le 	過去了	c=2 d=1 t=36319
guo ran 	果然	c=1 d=1 t=46639
guo sha 	過傻	c=1 d=1 t=22623
guo wai 	國外	c=1 d=1 t=22385
guo wo 	過我	c=0 d=0.1 t=31926
guo xiao 	過小	c=2 d=1 t=48014
guo yu 	過於	c=6 d=1.00006 t=58999
guo zhi wei 	郭志偉	c=16 d=1 t=56671
guo zhong 	過重	c=1 d=1 t=49226
ha 	哈	c=3 d=1 t=51991
ha ha 	哈哈	c=4 d=1 t=51990
ha ha ha ha 	哈哈哈哈	c=1 d=1 t=26266
ha xi 	哈希	c=8 d=0.1 t=55289
ha xi zhi 	哈希值	c=1 d=1 t=55290
hai 	還	c=100 d=0.590748 t=59920
hai de 	還得	c=4 d=1.9802 t=57003
hai duo 	還多	c=1 d=1 t=20350
hai hao 	還好	c=2 d=1 t=20366
hai hao ba 	還好吧	c=1 d=1 t=14614
hai hui 	還會	c=2 d=1 t=18391
hai jian le 	還建了	c=1 d=1 t=42118
hai ke yi 	還可以	c=2 d=1.00191 t=40398
hai liang 	海量	c=3 d=1.00014 t=43909
hai liang shu ju 	海量數據	c=1 d=1 t=42590
hai mei 	還沒	c=1 d=0.18452 t=59920
hai neng 	還能	c=6 d=1 t=49709
hai sheng 	還剩	c=1 d=1 t=11820
hai shi 	還是	c=84 d=0.0675437 t=59920
hai wei 	還未	c=2 d=1 t=46709
hai xiang 	還想	c=1 d=1 t=29827
hai xing 	還行	c=2 d=1 t=27483
hai xu yao 	還需要	c=1 d=1 t=55813
hai yao 	還要	c=5 d=1 t=57957
hai yi 	還以	c=1 d=1 t=22616
hai yi wei 	還以爲	c=5 d=1.63763 t=52620
hai you 	還有	c=72 d=0.0953692 t=59920
hai you yi ci 	還有一次	c=1 d=1 t=33139
hai you yi xie 	還有一些	c=1 d=1 t=38960
hai zai 	還在	c=14 d=0.000239969 t=59920
hai zai ma 	還在嗎	c=1 d=1 t=12014
hai zai me 	還在麼	c=2 d=1 t=52895
hai zai yong 	還在用	c=1 d=1 t=14636
hai zi 	孩子	c=5 d=1 t=41530
han 	含	c=2 d=1 t=58167
han 	喊	c=1 d=1 t=10971
han gai 	涵蓋	c=2 d=1 t=23815
han shu 	函數	c=52 d=0.0129068 t=59920
han shu li mian 	函數裏面	c=1 d=0.101687 t=39093
han shu ming 	函數名	c=1 d=1 t=17698
han yi 	含義	c=6 d=0.380983 t=59920
han you 	含有	c=1 d=1 t=19202
hang 	行	c=28 d=1 t=59764
hang ban 	航班	c=0 d=0.1 t=7052
hang cun lie 	行存列	c=1 d=1 t=8018
hang kuan 	行寬	c=1 d=1 t=20305
hang shu 	行數	c=2 d=1.99005 t=24503
hang shu ju 	行數據	c=1 d=1 t=20284
hang wei 	行尾	c=4 d=1 t=39800
hao 	好	c=163 d=0.00793099 t=59920
hao 	號	c=40 d=0.16224 t=59920
hao a 	好啊	c=1 d=1 t=9007
hao ba 	好吧	c=4 d=1 t=24388
hao ban 	好辦	c=1 d=1 t=38064
hao bu hao 	好不好	c=0 d=0.1 t=30064
hao bu hao gai 	好不好改	c=1 d=1 t=30065
hao bu rong yi 	好不容易	c=1 d=1 t=10607
hao chu 	好處	c=8 d=0.40657 t=59920
hao de 	好的	c=67 d=0.202183 t=59920
hao ding wei 	好定位	c=1 d=1 t=20063
hao duo 	好多	c=4 d=1 t=52587
hao duo qian 	好多錢	c=1 d=1 t=20325
hao fei 	耗費	c=2 d=1 t=48121
hao hao 	好好	c=1 d=1 t=12946
hao hao kan 	好好看	c=1 d=1 t=19498
hao hen duo le 	好很多了	c=1 d=1 t=33528
hao ji ci 	好幾次	c=2 d=1 t=29345
hao ji ge 	好幾個	c=4 d=1.41066 t=37452
hao ji ge xiao shi 	好幾個小時	c=1 d=1 t=33660
hao jin 	耗盡	c=1 d=1 t=48683
hao kan 	好看	c=0 d=0.1 t=19497
hao le 	好了	c=22 d=1 t=52990
hao mian 	好麪	c=1 d=1 t=55419
hao shi 	耗時	c=9 d=0.1 t=58221
hao xiang 	好像	c=5 d=1.97045 t=57639
hao xiao xi 	好消息	c=3 d=1.98511 t=39191
hao yi dian 	好一點	c=1 d=1 t=16428
hao yi xie 	好一些	c=2 d=1 t=42876
hao yong 	好用	c=1 d=0.00109719 t=59920
he 	合	c=1 d=1 t=4886
he 	和	c=471 d=3.85415 t=59920
he 	核	c=3 d=1.92774 t=40233
he bing 	合併	c=23 d=0.255381 t=59920
he bing dao 	合併到	c=2 d=1 t=59540
he bing guo 	和冰過	c=2 d=1 t=39691
he bing hui 	合併回	c=2 d=1 t=42195
he bing zhi 	合併之	c=1 d=4.27633e-07 t=59920
he bing zhi 	合併至	c=2 d=1 t=9423
he cun chu 	和存儲	c=1 d=1 t=32885
he dao 	合到	c=1 d=1 t=41444
he fa 	合法	c=5 d=0.0141223 t=59920
he fa zhi 	合法值	c=2 d=1.51944 t=43033
he he 	呵呵	c=2 d=1 t=44015
he li 	合理	c=7 d=1 t=53466
he lian 	和連	c=1 d=1 t=34765
he ni 	和你	c=2 d=1 t=29428
he ni men 	和你們	c=1 d=1 t=22594
he ru 	合入	c=9 d=1.20909 t=17826
he shi 	何時	c=3 d=2.34234e-05 t=59920
he shi 	合適	c=22 d=0.466495 t=59920
he shu 	核數	c=2 d=0.000590229 t=59920
he shui 	和誰	c=1 d=1 t=22576
he ta 	和他	c=4 d=1 t=53910
he wo 	和我	c=3 d=1 t=33043
he xin 	核心	c=1 d=1 t=7871
he yan 	賀岩	c=15 d=1.0002 t=51242
he yong 	合用	c=1 d=1 t=33810
he zai 	何在	c=1 d=1 t=50972
he zhi 	何值	c=1 d=1 t=23703
he zhong 	何種	c=3 d=1 t=54143
hen 	很	c=43 d=0.185895 t=59920
hen bu cuo 	很不錯	c=2 d=1 t=38054
hen cha 	很差	c=3 d=1 t=58956
hen chang 	很長	c=3 d=1 t=50017
hen da 	很大	c=6 d=1.03897 t=56178
hen di 	很低	c=1 d=1 t=12153
hen duan 	很短	c=1 d=1 t=50397
hen duo 	很多	c=59 d=0.0418816 t=59920
hen duo ci 	很多次	c=1 d=1 t=39031
hen duo ci le 	很多次了	c=1 d=1 t=26259
hen duo ren 	很多人	c=0 d=0.1 t=40253
hen duo ren yong 	很多人用	c=1 d=1 t=40254
hen duo zhong 	很多中	c=1 d=1 t=6216
hen gao 	很高	c=3 d=1 t=57716
hen hao 	很好	c=9 d=3.49213e-06 t=59920
hen hao de 	很好的	c=1 d=1 t=42604
hen ji 	很急	c=2 d=1.99005 t=30503
hen jian dan 	很簡單	c=1 d=1 t=49502
hen jiu 	很久	c=2 d=1 t=46827
hen jiu hen jiu 	很久很久	c=1 d=1 t=14932
hen ke neng 	很可能	c=3 d=1 t=55541
hen kuai 	很快	c=5 d=1 t=47184
hen kuan song 	很寬鬆	c=1 d=1 t=48610
hen luan 	很亂	c=1 d=1 t=29187
hen man 	很慢	c=2 d=1 t=52940
hen nan 	很難	c=4 d=1 t=29745
hen nan kan 	很難看	c=1 d=1 t=15714
hen rong yi 	很容易	c=1 d=1 t=38807
hen shao 	很少	c=1 d=1 t=54358
hen shu 	很熟	c=1 d=1 t=7956
hen xiao 	很小	c=12 d=2.64474 t=59731
hen xiao le 	很小了	c=1 d=1 t=59178
hen you 	很有	c=2 d=1 t=36813
hen you ke neng 	很有可能	c=1 d=1 t=21141
heng liang 	衡量	c=1 d=1 t=27989
heng xiang 	橫向	c=2 d=1.97045 t=37852
heng zhou 	橫軸	c=2 d=1.97045 t=43270
heng zuo biao 	橫座標	c=1 d=1 t=44540
hong 	宏	c=14 d=2.1992e-07 t=59920
hong ding yi 	宏定義	c=2 d=1.79852 t=46258
hong mao 	紅帽	c=5 d=1.89583 t=59824
hong se 	紅色	c=2 d=1 t=29553
hou 	後	c=109 d=0.233827 t=59920
hou duan 	後端	c=4 d=1.35915e-06 t=59920
hou guo 	後果	c=1 d=1 t=29215
hou ji 	後記	c=1 d=1 t=59231
hou lai 	後來	c=19 d=0.597507 t=59920
hou mian 	後面	c=33 d=2.19883e-05 t=59920
hou qi 	後期	c=1 d=1 t=41100
hou shu 	後蜀	c=1 d=1 t=50484
hou tai 	後臺	c=2 d=1.91393 t=7521
hou tian 	後天	c=1 d=1 t=30567
hou tian jia 	後添加	c=1 d=1 t=46807
hou tong 	後同	c=1 d=1 t=34872
hou wen 	後文	c=5 d=1.08416 t=58010
hou xu 	後續	c=72 d=0.141564 t=59920
hou xu fang wen 	後續訪問	c=1 d=1 t=13198
hou zhe 	後者	c=2 d=1 t=16069
hu dong 	互動	c=1 d=0.489192 t=59920
hu huan 	互換	c=1 d=1 t=26192
hu huan 	呼喚	c=1 d=1 t=26191
hu lian 	互聯	c=1 d=1 t=42049
hu lian wang luo 	互聯網絡	c=1 d=1.09418 t=39822
hu lve 	忽略	c=8 d=1 t=59146
hu xin 	互信	c=1 d=1 t=11063
hu you 	忽悠	c=1 d=1 t=27756
hua 	化	c=2 d=1 t=50510
hua 	畫	c=2 d=1 t=47084
hua 	花	c=5 d=1 t=47886
hua 	話	c=212 d=0.0319045 t=59920
hua ban 	畫板	c=2 d=1.65495e-06 t=59920
hua ban 	花瓣	c=0 d=7.98924e-08 t=59920
hua ban ni 	花瓣你	c=1 d=8.02929e-07 t=59920
hua diao 	花掉	c=1 d=1 t=54556
hua fei 	花費	c=6 d=1 t=55757
hua fen 	劃分	c=1 d=1 t=6910
hua le 	畫了	c=1 d=1 t=35579
hua le 	花了	c=1 d=1 t=9286
hua wei 	華爲	c=3 d=1 t=39848
hua xie 	花些	c=2 d=1 t=48290
huai 	壞	c=0 d=0.1 t=20084
huai xiao xi 	壞消息	c=3 d=1 t=39192
huai yi 	懷疑	c=14 d=1.53259 t=56457
huai you 	懷有	c=1 d=1 t=11314
huai yun 	懷孕	c=1 d=1 t=27497
huan 	換	c=5 d=1.66046 t=39455
huan cheng 	換成	c=2 d=1 t=37976
huan chong 	緩衝	c=3 d=1.92774 t=57737
huan chong qu 	緩衝區	c=1 d=1 t=57750
huan cun 	緩存	c=18 d=0.0164918 t=59920
huan deng pian 	幻燈片	c=2 d=1 t=35093
huan ge 	換個	c=1 d=1 t=15993
huan gei 	還給	c=1 d=1.00059 t=31466
huan gei ni 	還給你	c=1 d=1 t=30441
huan huan 	緩緩	c=1 d=1 t=11799
huan jie 	緩解	c=2 d=1 t=39382
huan jing 	環境	c=91 d=0.891232 t=59920
huan jing shi 	環境是	c=1 d=1 t=52966
huan jing xia 	環境下	c=2 d=1.00001 t=21152
huan jing zhong 	環境中	c=2 d=1 t=18972
huan ju hua shuo 	換句話說	c=3 d=1 t=53533
huan ni 	還你	c=2 d=1.68386 t=52968
huan qu 	換取	c=1 d=1 t=39344
huan xing 	喚醒	c=6 d=1.00288 t=57731
huan ying 	歡迎	c=14 d=0.66365 t=59920
huang se 	黃色	c=3 d=1 t=41638
hui 	回	c=18 d=1 t=57484
hui 	會	c=377 d=1.4025 t=59920
hui bao 	彙報	c=1 d=0.1 t=46044
hui bao xia 	彙報下	c=1 d=1 t=46045
hui bei 	會被	c=2 d=1 t=59145
hui bu hui 	會不會	c=6 d=1 t=54949
hui dao 	回到	c=2 d=1.00053 t=42485
hui diao 	回調	c=1 d=9.39813e-06 t=59920
hui fu 	回覆	c=6 d=1.00001 t=53889
hui fu 	恢復	c=3 d=1 t=51644
hui gei 	會給	c=1 d=1 t=38548
hui gui 	回歸	c=58 d=1.52205 t=57170
hui gun 	回滾	c=2 d=1.956 t=32285
hui guo 	回國	c=0 d=0.1 t=33921
hui guo tou 	回國頭	c=1 d=1 t=33922
hui hua 	會話	c=8 d=3.16126e-05 t=59920
hui jia 	回家	c=2 d=1.00013 t=13280
hui jian cha 	會檢查	c=1 d=1 t=28632
hui kan 	會刊	c=1 d=1 t=38627
hui lai 	回來	c=6 d=1 t=54823
hui le 	回了	c=1 d=1 t=6514
hui qu 	回去	c=9 d=1 t=37799
hui she ji dao 	會涉及到	c=1 d=1 t=39367
hui shi 	回事	c=3 d=1 t=27812
hui shou 	回收	c=2 d=1 t=47397
hui ti 	會提	c=1 d=1 t=38633
hui tou 	回頭	c=61 d=0.648089 t=59920
hui tui 	回退	c=5 d=1.99005 t=41030
hui yi 	會議	c=1 d=1 t=24885
hui yi ji lu 	會議記錄	c=1 d=1 t=24884
hui yi shi 	會議室	c=3 d=2.34503 t=16762
hui ying 	回應	c=5 d=1.10288e-05 t=59920
hui yong 	會用	c=1 d=1 t=40646
hui yong dao 	會用到	c=1 d=1 t=44041
hui you 	會有	c=7 d=0.0739031 t=59920
hui you ren 	會有人	c=1 d=1 t=53305
hui you yi xie 	會有一些	c=1 d=1 t=21601
hui zai 	會在	c=2 d=1.00691 t=9430
hui zheng li 	會整理	c=1 d=1 t=40406
hui zong 	彙總	c=3 d=1 t=39003
hun he 	混合	c=2 d=1.20495 t=55097
hun luan 	混亂	c=4 d=1.00014 t=38698
hun xiao 	混淆	c=1 d=1 t=32569
hun zai 	混在	c=1 d=1 t=46464
huo 	或	c=9 d=0.0184074 t=59920
huo che zhan 	火車站	c=1 d=1 t=37404
huo qu 	獲取	c=36 d=0.138158 t=59920
huo xu 	或許	c=1 d=1 t=24931
huo xu ke yi 	或許可以	c=1 d=1 t=11220
huo zhe 	或者	c=149 d=0.748098 t=59920
huo zhe shi 	或者是	c=1 d=1 t=46582
ji 	即	c=26 d=0.00179994 t=59920
ji 	及	c=9 d=1.1367 t=45950
ji 	幾	c=3 d=1.16447 t=42424
ji 	既	c=2 d=0.000158461 t=59920
ji 	機	c=19 d=1 t=59185
ji 	級	c=4 d=1 t=55626
ji 	集	c=4 d=1 t=31830
ji ben 	基本	c=32 d=0.299692 t=59920
ji ben shang 	基本上	c=1 d=1 t=23385
ji bian 	即便	c=11 d=1 t=57389
ji bian shi 	即便是	c=3 d=1 t=46375
ji bie 	級別	c=10 d=1.00007 t=55387
ji bu ji 	記不記	c=1 d=1 t=20029
ji cheng 	繼承	c=4 d=0.000385874 t=59920
ji cheng 	集成	c=10 d=0.0015896 t=59920
ji cheng dao 	集成到	c=1 d=1 t=15740
ji cheng zi 	繼承自	c=1 d=1 t=44876
ji chu 	基礎	c=9 d=4.2874e-09 t=59920
ji chu 	幾處	c=1 d=1 t=36735
ji chu gai nian 	基礎概念	c=1 d=4.30889e-08 t=59920
ji chu shang 	基礎上	c=2 d=0.000441647 t=59920
ji ci 	幾次	c=12 d=0.287941 t=59920
ji de 	記得	c=15 d=1 t=56500
ji di 	基地	c=1 d=1 t=7671
ji dian 	幾點	c=13 d=1 t=41491
ji dian le 	幾點了	c=1 d=1 t=11242
ji duan 	即斷	c=1 d=6.65595e-06 t=59920
ji duan 	極端	c=4 d=1 t=48190
ji ge 	幾個	c=58 d=0.32891 t=59920
ji ge xiao shi 	幾個小時	c=0 d=0.1 t=33659
ji hang 	幾行	c=4 d=1 t=39565
ji he 	集合	c=1 d=1 t=3460
ji hu 	幾乎	c=6 d=1 t=58844
